2024-12-06T11:21:07.004004 | Position: 55.471539, 10.324282, 53.63 m | Raw Position: 55.471539, 10.324281, 53.70 m | RSSI: -41.7 | Remote RSSI: -41.2
2024-12-06T11:21:08.003939 | Position: 55.471539, 10.324281, 53.68 m | Raw Position: 55.471539, 10.324281, 53.70 m | RSSI: -38.1 | Remote RSSI: -38.1
2024-12-06T11:21:09.003853 | Position: 55.471539, 10.324281, 53.72 m | Raw Position: 55.471539, 10.324282, 53.72 m | RSSI: -37.5 | Remote RSSI: -37.5
2024-12-06T11:21:10.003646 | Position: 55.471539, 10.324282, 53.74 m | Raw Position: 55.471539, 10.324283, 53.72 m | RSSI: -37.5 | Remote RSSI: -37.5
2024-12-06T11:21:11.003753 | Position: 55.471539, 10.324282, 53.74 m | Raw Position: 55.471539, 10.324283, 53.72 m | RSSI: -38.1 | Remote RSSI: -37.5
2024-12-06T11:21:12.003973 | Position: 55.471539, 10.324283, 53.75 m | Raw Position: 55.471539, 10.324284, 53.75 m | RSSI: -39.1 | Remote RSSI: -37.5
2024-12-06T11:21:13.003772 | Position: 55.471539, 10.324284, 53.73 m | Raw Position: 55.471539, 10.324284, 53.70 m | RSSI: -41.2 | Remote RSSI: -39.6
2024-12-06T11:21:14.003771 | Position: 55.471539, 10.324285, 53.66 m | Raw Position: 55.471538, 10.324285, 53.52 m | RSSI: -39.6 | Remote RSSI: -38.6
2024-12-06T11:21:15.003770 | Position: 55.471539, 10.324285, 53.58 m | Raw Position: 55.471538, 10.324285, 53.41 m | RSSI: -39.6 | Remote RSSI: -38.6
2024-12-06T11:21:16.003765 | Position: 55.471538, 10.324285, 53.54 m | Raw Position: 55.471538, 10.324285, 53.36 m | RSSI: -37.5 | Remote RSSI: -37.5
2024-12-06T11:21:17.003922 | Position: 55.471538, 10.324285, 53.44 m | Raw Position: 55.471538, 10.324285, 53.35 m | RSSI: -37.5 | Remote RSSI: -39.1
2024-12-06T11:21:18.003942 | Position: 55.471538, 10.324285, 53.44 m | Raw Position: 55.471538, 10.324285, 53.35 m | RSSI: -41.7 | Remote RSSI: -38.1
2024-12-06T11:21:19.003787 | Position: 55.471538, 10.324285, 53.38 m | Raw Position: 55.471538, 10.324286, 53.37 m | RSSI: -38.1 | Remote RSSI: -38.6
2024-12-06T11:21:20.003953 | Position: 55.471538, 10.324285, 53.37 m | Raw Position: 55.471538, 10.324286, 53.40 m | RSSI: -40.2 | Remote RSSI: -38.1
2024-12-06T11:21:21.003940 | Position: 55.471538, 10.324286, 53.38 m | Raw Position: 55.471538, 10.324286, 53.44 m | RSSI: -39.1 | Remote RSSI: -39.6
2024-12-06T11:21:22.003751 | Position: 55.471538, 10.324286, 53.39 m | Raw Position: 55.471538, 10.324287, 53.41 m | RSSI: -39.6 | Remote RSSI: -39.1
2024-12-06T11:21:23.003789 | Position: 55.471538, 10.324286, 53.39 m | Raw Position: 55.471538, 10.324287, 53.38 m | RSSI: -39.6 | Remote RSSI: -39.1
2024-12-06T11:21:24.003966 | Position: 55.471538, 10.324287, 53.39 m | Raw Position: 55.471538, 10.324288, 53.37 m | RSSI: -41.7 | Remote RSSI: -39.1
2024-12-06T11:21:25.003962 | Position: 55.471538, 10.324287, 53.39 m | Raw Position: 55.471538, 10.324288, 53.39 m | RSSI: -42.3 | Remote RSSI: -42.8
2024-12-06T11:21:26.003755 | Position: 55.471538, 10.324288, 53.40 m | Raw Position: 55.471538, 10.324288, 53.45 m | RSSI: -46.5 | Remote RSSI: -45.4
2024-12-06T11:21:27.004037 | Position: 55.471538, 10.324288, 53.41 m | Raw Position: 55.471538, 10.324288, 53.47 m | RSSI: -41.2 | Remote RSSI: -40.7
